chrom	start_peak	end_peak	name_peak	start_gene	end_gene	gene_id	gene_name	strand_gene	gene_type	transcript_id	transcript_type	transcript_support	distance	sbs1_motif	sbs2_motif	sbs1_and_sbs2_motif
chr12	105032032	105032912	ZFP143_conserved_299	105032690	105042906	ENSMUSG00000021102.4	Glrx5	+	protein_coding	ENSMUST00000021522.4	protein_coding	1	218	1	0	0
chr12	105784383	105785236	ZFP143_conserved_300	105784757	105809709	ENSMUSG00000021111.15	Papola	+	protein_coding	ENSMUST00000166735.7	protein_coding	1	52	1	1	1
chr12	106009750	106010416	ZFP143_conserved_301	106010228	106075220	ENSMUSG00000021115.15	Vrk1	+	protein_coding	ENSMUST00000072040.6	protein_coding	1	145	1	1	1
chr12	110601123	110601768	ZFP143_conserved_302	110601452	110666945	ENSMUSG00000018707.13	Dync1h1	+	protein_coding	ENSMUST00000018851.13	protein_coding	1	7	1	1	1
chr12	110889009	110889498	ZFP143_conserved_303	110872610	110889145	ENSMUSG00000021276.10	Cinp	-	protein_coding	ENSMUST00000043716.8	protein_coding	1	108	0	0	0
chr12	110889009	110889498	ZFP143_conserved_303	110889264	110972394	ENSMUSG00000021275.16	Tecpr2	+	protein_coding	ENSMUST00000165978.2	protein_coding	1	11	1	0	0
chr12	111537603	111538614	ZFP143_conserved_304	111538016	111546752	ENSMUSG00000021282.17	Eif5	+	protein_coding	ENSMUST00000166123.8	protein_coding	1	92	1	0	0
chr12	111677783	111678264	ZFP143_conserved_305	111678105	111683902	ENSMUSG00000060950.12	Trmt61a	+	protein_coding	ENSMUST00000084947.9	protein_coding	1	82	1	0	0
chr12	111758564	111759096	ZFP143_conserved_306	111758849	111806775	ENSMUSG00000021288.19	Klc1	+	protein_coding	ENSMUST00000084941.11	protein_coding	1	19	0	0	0
chr12	111966640	111967232	ZFP143_conserved_307	111961375	111966977	ENSMUSG00000021290.6	Atp5mpl	-	protein_coding	ENSMUST00000021719.6	protein_coding	1	41	1	0	0
chr12	112829190	112829877	ZFP143_conserved_308	112820237	112829423	ENSMUSG00000047832.9	Cdca4	-	protein_coding	ENSMUST00000220899.1	protein_coding	1	110	0	0	0
chr12	116262830	116263296	ZFP143_conserved_309	116207051	116263022	ENSMUSG00000042050.8	Wdr60	-	protein_coding	ENSMUST00000039349.7	protein_coding	1	41	1	0	0
chr12	118301107	118302384	ZFP143_conserved_310	118234933	118301370	ENSMUSG00000025323.10	Sp4	-	protein_coding	ENSMUST00000026367.10	protein_coding	1	375	1	1	1
chr13	12257843	12258477	ZFP143_conserved_311	12182712	12258095	ENSMUSG00000021311.9	Mtr	-	protein_coding	ENSMUST00000099856.5	protein_coding	1	65	1	1	1
chr13	12565498	12566049	ZFP143_conserved_312	12565874	12606112	ENSMUSG00000057069.7	Ero1lb	+	protein_coding	ENSMUST00000221560.1	protein_coding	1	101	1	1	1
chr13	13954174	13955029	ZFP143_conserved_313	13954625	13999103	ENSMUSG00000039242.10	B3galnt2	+	protein_coding	ENSMUST00000221974.1	protein_coding	1	24	0	1	0
chr13	14063034	14064011	ZFP143_conserved_314	14050659	14063488	ENSMUSG00000021302.10	Ggps1	-	protein_coding	ENSMUST00000170957.2	protein_coding	1	34	0	0	0
chr13	14063034	14064011	ZFP143_conserved_314	14063784	14169960	ENSMUSG00000039219.18	Arid4b	+	protein_coding	ENSMUST00000129488.7	protein_coding	1	262	1	1	1
chr13	14612854	14613502	ZFP143_conserved_315	14608184	14613165	ENSMUSG00000015672.4	Mrpl32	-	protein_coding	ENSMUST00000220621.1	protein_coding	1	13	0	0	0
chr13	14612854	14613502	ZFP143_conserved_315	14613240	14627636	ENSMUSG00000015671.11	Psma2	+	protein_coding	ENSMUST00000170836.3	protein_coding	1	62	1	1	1
chr13	32801459	32802360	ZFP143_conserved_316	32802038	32822609	ENSMUSG00000021400.8	Wrnip1	+	protein_coding	ENSMUST00000021832.6	protein_coding	1	129	1	1	1
chr13	35905751	35906582	ZFP143_conserved_317	35893472	35906359	ENSMUSG00000021418.15	Rpp40	-	protein_coding	ENSMUST00000171686.8	protein_coding	1	193	1	1	1
chr13	38204688	38205157	ZFP143_conserved_318	38204945	38227665	ENSMUSG00000021431.15	Snrnp48	+	protein_coding	ENSMUST00000091641.12	protein_coding	1	23	1	1	1
chr13	41249448	41250179	ZFP143_conserved_319	41249844	41276577	ENSMUSG00000091264.3	Smim13	+	protein_coding	ENSMUST00000165561.3	protein_coding	1	31	1	1	1
chr13	44730485	44731526	ZFP143_conserved_320	44730823	44920995	ENSMUSG00000038518.15	Jarid2	+	protein_coding	ENSMUST00000044608.13	protein_coding	1	182	0	1	0
chr13	46727781	46728301	ZFP143_conserved_321	46679905	46727940	ENSMUSG00000021374.10	Nup153	-	protein_coding	ENSMUST00000021803.9	protein_coding	1	101	1	1	1
chr13	48513163	48513714	ZFP143_conserved_322	48487647	48513436	ENSMUSG00000050954.15	Zfp169	-	protein_coding	ENSMUST00000176176.7	protein_coding	1	2	0	0	0
chr13	48513163	48513714	ZFP143_conserved_322	48513570	48514859	ENSMUSG00000053181.1	A830005F24Rik	+	protein_coding	ENSMUST00000065465.1	protein_coding	1	132	1	1	1
chr13	49341028	49341759	ZFP143_conserved_323	49341585	49387019	ENSMUSG00000037933.16	Bicd2	+	protein_coding	ENSMUST00000048544.13	protein_coding	1	192	1	1	1
chr13	51644737	51646278	ZFP143_conserved_324	51645232	51650660	ENSMUSG00000062248.5	Cks2	+	protein_coding	ENSMUST00000075853.5	protein_coding	1	275	0	0	0
chr13	54468671	54469168	ZFP143_conserved_325	54458837	54468849	ENSMUSG00000025872.5	Thoc3	-	protein_coding	ENSMUST00000026990.5	protein_coding	1	70	0	0	0
chr13	54565136	54565621	ZFP143_conserved_326	54552396	54565333	ENSMUSG00000025871.18	4833439L19Rik	-	protein_coding	ENSMUST00000153708.1	processed_transcript	1	45	1	1	1
chr13	54589821	54590735	ZFP143_conserved_327	54584185	54590090	ENSMUSG00000025869.11	Nop16	-	protein_coding	ENSMUST00000026987.11	protein_coding	1	188	1	1	1
chr13	54589821	54590735	ZFP143_conserved_327	54590207	54591158	ENSMUSG00000025868.6	Higd2a	+	protein_coding	ENSMUST00000026986.6	protein_coding	1	71	1	1	1
chr13	54693619	54694812	ZFP143_conserved_328	54679410	54693847	ENSMUSG00000034928.16	Rnf44	-	protein_coding	ENSMUST00000037422.15	protein_coding	1	368	1	1	1
chr13	55362447	55363238	ZFP143_conserved_329	55343833	55362783	ENSMUSG00000021484.8	Lman2	-	protein_coding	ENSMUST00000021940.7	protein_coding	1	59	1	1	1
chr13	55592857	55593359	ZFP143_conserved_330	55593169	55597697	ENSMUSG00000058569.8	Tmed9	+	protein_coding	ENSMUST00000109905.4	protein_coding	1	61	1	1	1
chr13	56135240	56135786	ZFP143_conserved_331	56073622	56135530	ENSMUSG00000015937.15	Macroh2a1	-	protein_coding	ENSMUST00000045788.8	protein_coding	1	17	0	0	0
chr13	58215289	58216354	ZFP143_conserved_332	58176156	58215653	ENSMUSG00000005312.15	Ubqln1	-	protein_coding	ENSMUST00000058735.11	protein_coding	1	168	1	0	0
chr13	63431040	63432080	ZFP143_conserved_333	63311539	63431724	ENSMUSG00000021461.17	Fancc	-	protein_coding	ENSMUST00000161977.7	protein_coding	1	164	1	0	0
chr13	65278470	65279133	ZFP143_conserved_334	65278814	65304221	ENSMUSG00000021514.18	Zfp369	+	protein_coding	ENSMUST00000130799.7	protein_coding	1	13	0	0	0
chr13	66904983	66905560	ZFP143_conserved_335	66900617	66905378	ENSMUSG00000021520.4	Uqcrb	-	protein_coding	ENSMUST00000021993.4	protein_coding	1	107	1	0	0
chr13	66904983	66905560	ZFP143_conserved_335	66905415	66909166	ENSMUSG00000074826.10	Gm10767	+	protein_coding	ENSMUST00000099412.2	protein_coding	1	144	0	0	0
chr13	67060704	67061414	ZFP143_conserved_336	67038596	67061170	ENSMUSG00000090641.2	Zfp712	-	protein_coding	ENSMUST00000167565.2	protein_coding	1	111	1	0	0
chr13	67080928	67081749	ZFP143_conserved_337	67069399	67081512	ENSMUSG00000058883.16	Zfp708	-	protein_coding	ENSMUST00000109742.10	protein_coding	1	174	0	0	0
chr13	67108461	67108884	ZFP143_conserved_338	67105369	67108604	ENSMUSG00000100235.8	Gm28557	-	protein_coding	ENSMUST00000187652.2	processed_transcript	1	68	0	0	0
chr13	67127963	67128451	ZFP143_conserved_339	67128228	67141787	ENSMUSG00000057396.7	Zfp759	+	protein_coding	ENSMUST00000052716.7	protein_coding	1	21	1	0	0
chr13	67306106	67306694	ZFP143_conserved_340	67292450	67306412	ENSMUSG00000055341.10	Zfp457	-	protein_coding	ENSMUST00000049705.7	protein_coding	5	12	1	0	0
chr13	67360361	67360891	ZFP143_conserved_341	67339306	67360605	ENSMUSG00000098905.2	Zfp953	-	protein_coding	ENSMUST00000081582.7	protein_coding	1	21	0	0	0
chr13	67360361	67360891	ZFP143_conserved_341	67360671	67365679	ENSMUSG00000092103.2	Gm17039	+	antisense	ENSMUST00000165145.2	antisense	1	45	1	1	1
chr13	67484032	67484552	ZFP143_conserved_342	67471513	67484225	ENSMUSG00000059839.9	Zfp874b	-	protein_coding	ENSMUST00000019572.8	protein_coding	3	67	0	0	0
chr13	67500126	67500753	ZFP143_conserved_343	67490167	67500503	ENSMUSG00000071291.10	Zfp58	-	protein_coding	ENSMUST00000171518.7	protein_coding	1	64	0	0	0
chr13	67552811	67553397	ZFP143_conserved_344	67538641	67553830	ENSMUSG00000095432.9	Zfp748	-	protein_coding	ENSMUST00000181892.8	protein_coding	1	726	0	0	0
chr13	67552811	67553397	ZFP143_conserved_344	67553234	67561232	ENSMUSG00000097360.8	9430065F17Rik	+	antisense	ENSMUST00000180908.8	antisense	1	130	1	1	1
chr13	67637468	67638048	ZFP143_conserved_345	67612763	67637791	ENSMUSG00000021510.11	Zfp729a	-	protein_coding	ENSMUST00000012314.9	protein_coding	1	33	0	0	0
chr13	67682990	67683812	ZFP143_conserved_346	67658685	67683467	ENSMUSG00000048280.18	Zfp738	-	protein_coding	ENSMUST00000137496.9	protein_coding	1	66	0	0	0
chr13	67724041	67724539	ZFP143_conserved_347	67708604	67724272	ENSMUSG00000071281.12	Zfp65	-	protein_coding	ENSMUST00000127979.8	protein_coding	3	18	0	0	0
chr13	67754898	67755425	ZFP143_conserved_348	67747800	67755228	ENSMUSG00000058331.15	Zfp85	-	protein_coding	ENSMUST00000144183.2	protein_coding	1	67	0	1	0
chr13	70637662	70638393	ZFP143_conserved_349	70588697	70637634	ENSMUSG00000034525.7	Ice1	-	protein_coding	ENSMUST00000043493.6	protein_coding	5	393	0	0	0
chr13	73603744	73604390	ZFP143_conserved_350	73604006	73620605	ENSMUSG00000021610.8	Clptm1l	+	protein_coding	ENSMUST00000022102.8	protein_coding	1	61	1	0	0
chr13	76098343	76098937	ZFP143_conserved_351	76060422	76098660	ENSMUSG00000021592.18	Arsk	-	protein_coding	ENSMUST00000120573.2	protein_coding	1	20	0	0	0
chr13	76098343	76098937	ZFP143_conserved_351	76098734	76187983	ENSMUSG00000033991.9	Ttc37	+	protein_coding	ENSMUST00000091466.3	protein_coding	5	94	1	1	1
chr13	86046419	86047096	ZFP143_conserved_352	86044816	86046904	ENSMUSG00000017778.14	Cox7c	-	protein_coding	ENSMUST00000131011.1	protein_coding	1	147	1	1	1
chr13	90922729	90923482	ZFP143_conserved_353	90922958	90924950	ENSMUSG00000049517.8	Rps23	+	protein_coding	ENSMUST00000051955.8	protein_coding	1	147	1	0	0
chr13	96542206	96542988	ZFP143_conserved_354	96480690	96542485	ENSMUSG00000021668.15	Polk	-	protein_coding	ENSMUST00000022172.11	protein_coding	1	112	1	0	0
chr13	96542206	96542988	ZFP143_conserved_354	96542618	96638015	ENSMUSG00000021669.15	Col4a3bp	+	protein_coding	ENSMUST00000179226.7	protein_coding	1	21	1	1	1
chr13	100124656	100125012	ZFP143_conserved_355	100124852	100137690	ENSMUSG00000021645.16	Smn1	+	protein_coding	ENSMUST00000022147.14	protein_coding	1	18	1	0	0
chr13	100832988	100833702	ZFP143_conserved_356	100802648	100833427	ENSMUSG00000021629.10	Slc30a5	-	protein_coding	ENSMUST00000067246.5	protein_coding	1	82	0	0	0
chr13	104178125	104179037	ZFP143_conserved_357	104142149	104178469	ENSMUSG00000021711.17	Trappc13	-	protein_coding	ENSMUST00000144060.7	protein_coding	1	112	1	1	1
chr13	104178125	104179037	ZFP143_conserved_357	104173722	104178439	ENSMUSG00000118537.1	Shld3	-	protein_coding	ENSMUST00000133280.1	protein_coding	1	142	1	1	1
chr13	104178125	104179037	ZFP143_conserved_357	104178797	104203017	ENSMUSG00000021712.15	Trim23	+	protein_coding	ENSMUST00000022225.11	protein_coding	1	216	0	0	0
chr13	106946761	106947268	ZFP143_conserved_358	106947159	106959760	ENSMUSG00000021692.9	Dimt1	+	protein_coding	ENSMUST00000022203.9	protein_coding	1	145	1	1	1
chr13	112927185	112927830	ZFP143_conserved_359	112867418	112927398	ENSMUSG00000016018.4	Mtrex	-	protein_coding	ENSMUST00000022281.4	protein_coding	1	109	0	0	0
chr13	112927185	112927830	ZFP143_conserved_359	112927454	112969432	ENSMUSG00000042426.6	Dhx29	+	protein_coding	ENSMUST00000038574.6	protein_coding	1	53	1	0	0
chr14	13960975	13961384	ZFP143_conserved_360	13949012	13961277	ENSMUSG00000053453.9	Thoc7	-	protein_coding	ENSMUST00000065865.9	protein_coding	1	98	0	0	0
chr14	18270747	18271489	ZFP143_conserved_361	18267823	18271067	ENSMUSG00000012405.16	Rpl15	-	protein_coding	ENSMUST00000080281.13	protein_coding	1	51	0	1	0
chr14	18270747	18271489	ZFP143_conserved_361	18271136	18284003	ENSMUSG00000021772.15	Nkiras1	+	protein_coding	ENSMUST00000132374.8	protein_coding	1	18	1	0	0
chr14	19417229	19419637	ZFP143_conserved_363	19415857	19418930	ENSMUSG00000095280.1	Gm21738	-	protein_coding	ENSMUST00000177817.1	protein_coding	5	497	0	0	0
chr14	20545965	20546792	ZFP143_conserved_364	20507671	20546440	ENSMUSG00000021816.11	Ppp3cb	-	protein_coding	ENSMUST00000161989.1	protein_coding	1	62	1	0	0
chr14	20545965	20546792	ZFP143_conserved_364	20546293	20570680	ENSMUSG00000084925.8	1810062O18Rik	+	antisense	ENSMUST00000141265.7	antisense	1	85	0	0	0
chr14	20702670	20703245	ZFP143_conserved_365	20687236	20703012	ENSMUSG00000097577.2	6230400D17Rik	-	antisense	ENSMUST00000180987.1	antisense	1	55	1	0	0
chr14	20702670	20703245	ZFP143_conserved_365	20703006	20704425	ENSMUSG00000063787.4	Chchd1	+	protein_coding	ENSMUST00000071215.4	protein_coding	1	49	0	0	0
chr14	20707054	20707684	ZFP143_conserved_366	20707552	20723619	ENSMUSG00000021819.11	Zswim8	+	protein_coding	ENSMUST00000022358.8	protein_coding	1	183	1	1	1
chr14	26637681	26638471	ZFP143_conserved_367	26628407	26638183	ENSMUSG00000090861.1	Arf4os	-	antisense	ENSMUST00000166902.1	antisense	1	107	1	0	0
chr14	26637681	26638471	ZFP143_conserved_367	26638074	26657258	ENSMUSG00000021877.12	Arf4	+	protein_coding	ENSMUST00000022429.8	protein_coding	1	2	0	0	0
chr14	29978108	29978833	ZFP143_conserved_368	29978337	29993219	ENSMUSG00000015971.5	Actr8	+	protein_coding	ENSMUST00000016115.5	protein_coding	1	133	1	0	0
chr14	31640760	31641534	ZFP143_conserved_369	31607199	31640964	ENSMUSG00000021884.18	Hacl1	-	protein_coding	ENSMUST00000022437.15	protein_coding	1	183	1	0	0
chr14	31640760	31641534	ZFP143_conserved_369	31641057	31668579	ENSMUSG00000021900.10	Btd	+	protein_coding	ENSMUST00000090147.6	protein_coding	1	90	0	0	0
chr14	34673545	34674237	ZFP143_conserved_370	34673928	34747983	ENSMUSG00000041408.18	Wapl	+	protein_coding	ENSMUST00000048263.13	protein_coding	1	37	1	1	1
chr14	45329523	45330157	ZFP143_conserved_371	45329788	45349705	ENSMUSG00000021832.8	Psmc6	+	protein_coding	ENSMUST00000022380.8	protein_coding	1	52	1	0	0
chr14	46787842	46788524	ZFP143_conserved_372	46775567	46788411	ENSMUSG00000015759.11	Cnih1	-	protein_coding	ENSMUST00000015903.11	protein_coding	1	228	1	0	0
chr14	47568175	47568649	ZFP143_conserved_373	47540894	47568434	ENSMUSG00000037526.7	Atg14	-	protein_coding	ENSMUST00000042988.6	protein_coding	1	22	1	0	0
chr14	50807379	50808085	ZFP143_conserved_374	50807841	50821301	ENSMUSG00000036023.6	Parp2	+	protein_coding	ENSMUST00000036126.6	protein_coding	1	109	1	0	0
chr14	52019482	52020838	ZFP143_conserved_375	52006086	52019688	ENSMUSG00000049295.17	Zfp219	-	protein_coding	ENSMUST00000166169.3	protein_coding	1	472	0	0	0
chr14	54517178	54517866	ZFP143_conserved_376	54507187	54517525	ENSMUSG00000023110.12	Prmt5	-	protein_coding	ENSMUST00000023873.11	protein_coding	1	3	0	1	0
chr14	54686059	54687181	ZFP143_conserved_377	54642162	54686616	ENSMUSG00000022185.19	Acin1	-	protein_coding	ENSMUST00000147714.7	protein_coding	1	4	1	0	0
chr14	54686059	54687181	ZFP143_conserved_377	54686216	54690741	ENSMUSG00000040822.7	1700123O20Rik	+	protein_coding	ENSMUST00000038539.7	protein_coding	1	404	0	0	0
chr14	55092286	55092649	ZFP143_conserved_378	55060262	55092324	ENSMUSG00000040721.9	Zfhx2	-	protein_coding	ENSMUST00000036328.8	protein_coding	1	143	1	1	1
chr14	55671661	55672413	ZFP143_conserved_379	55662263	55672124	ENSMUSG00000010376.15	Nedd8	-	protein_coding	ENSMUST00000010520.9	protein_coding	1	87	0	1	0
chr14	55671661	55672413	ZFP143_conserved_379	55672235	55679200	ENSMUSG00000002326.6	Gmpr2	+	protein_coding	ENSMUST00000002397.6	protein_coding	1	198	1	1	1
chr14	56571662	56572152	ZFP143_conserved_380	56526761	56571846	ENSMUSG00000064128.8	Cenpj	-	protein_coding	ENSMUST00000065302.7	protein_coding	1	61	1	1	1
chr14	57423766	57424250	ZFP143_conserved_381	57424062	57517936	ENSMUSG00000040040.16	Ift88	+	protein_coding	ENSMUST00000122063.7	protein_coding	1	54	0	1	0
chr14	57664740	57665315	ZFP143_conserved_382	57577521	57665430	ENSMUSG00000021952.16	Xpo4	-	protein_coding	ENSMUST00000174545.8	protein_coding	1	403	1	0	0
chr14	60251269	60251842	ZFP143_conserved_383	60218078	60251507	ENSMUSG00000114797.1	Gm49336	-	protein_coding	ENSMUST00000041905.7	protein_coding	1	48	1	0	0
chr14	61439561	61440337	ZFP143_conserved_384	61365211	61439874	ENSMUSG00000021929.9	Kpna3	-	protein_coding	ENSMUST00000022496.8	protein_coding	1	75	1	0	0
chr14	61648453	61649229	ZFP143_conserved_385	61632349	61648822	ENSMUSG00000097589.9	Dleu2	-	processed_transcript	ENSMUST00000180917.8	lincRNA	1	19	1	0	0
chr14	61648453	61649229	ZFP143_conserved_385	61648950	61667312	ENSMUSG00000097997.1	Gm27017	+	lincRNA	ENSMUST00000183031.1	lincRNA	3	109	1	0	0
chr14	62837022	62837966	ZFP143_conserved_386	62837678	62961509	ENSMUSG00000014547.10	Wdfy2	+	protein_coding	ENSMUST00000014691.9	protein_coding	1	184	1	1	1
chr14	64652212	64652739	ZFP143_conserved_387	64652531	64806296	ENSMUSG00000060012.9	Kif13b	+	protein_coding	ENSMUST00000100473.4	protein_coding	5	56	1	1	1
chr14	64949676	64950451	ZFP143_conserved_388	64825059	64949856	ENSMUSG00000021972.14	Hmbox1	-	protein_coding	ENSMUST00000175744.7	protein_coding	1	207	1	1	1
chr14	64949676	64950451	ZFP143_conserved_388	64950045	65039832	ENSMUSG00000021975.9	Ints9	+	protein_coding	ENSMUST00000043914.7	protein_coding	1	18	1	1	1
chr14	75844797	75845950	ZFP143_conserved_391	75843379	75844964	ENSMUSG00000085829.1	Gm4285	-	antisense	ENSMUST00000131222.1	antisense	2	409	1	0	0
chr14	75844797	75845950	ZFP143_conserved_391	75845093	75848415	ENSMUSG00000060126.14	Tpt1	+	protein_coding	ENSMUST00000110894.8	protein_coding	1	280	1	0	0
chr14	99099611	99100203	ZFP143_conserved_392	99075206	99099770	ENSMUSG00000033166.11	Dis3	-	protein_coding	ENSMUST00000042471.10	protein_coding	5	137	0	0	0
chr14	99099611	99100203	ZFP143_conserved_392	99099907	99254493	ENSMUSG00000022064.10	Pibf1	+	protein_coding	ENSMUST00000022650.8	protein_coding	5	0	1	1	1
chr14	105176964	105177602	ZFP143_conserved_393	105116135	105177264	ENSMUSG00000022119.15	Rbm26	-	protein_coding	ENSMUST00000163499.1	protein_coding	1	19	1	0	0
chr15	3995504	3996366	ZFP143_conserved_394	3982035	3995744	ENSMUSG00000041935.10	AW549877	-	protein_coding	ENSMUST00000046633.9	protein_coding	1	191	1	0	0
chr15	3995504	3996366	ZFP143_conserved_394	3996039	4015858	ENSMUSG00000097662.1	Gm2093	+	lincRNA	ENSMUST00000180518.1	lincRNA	1	104	1	0	0
chr15	5185339	5185923	ZFP143_conserved_395	5175085	5185723	ENSMUSG00000087532.1	Gm15938	-	antisense	ENSMUST00000150079.1	antisense	1	92	1	1	1
chr15	5185339	5185923	ZFP143_conserved_395	5185560	5218336	ENSMUSG00000022151.16	Ttc33	+	protein_coding	ENSMUST00000022751.14	protein_coding	1	71	1	1	1
chr15	9140149	9140780	ZFP143_conserved_396	9111985	9140439	ENSMUSG00000054115.11	Skp2	-	protein_coding	ENSMUST00000110585.8	protein_coding	1	25	1	1	1
chr15	9140149	9140780	ZFP143_conserved_396	9140665	9197844	ENSMUSG00000039704.7	Lmbrd2	+	protein_coding	ENSMUST00000090380.5	protein_coding	1	201	1	0	0
chr15	12117410	12118189	ZFP143_conserved_397	12117831	12185683	ENSMUSG00000022201.16	Zfr	+	protein_coding	ENSMUST00000122941.7	protein_coding	1	32	1	1	1
chr15	34443004	34443915	ZFP143_conserved_398	34440505	34443640	ENSMUSG00000058600.13	Rpl30	-	protein_coding	ENSMUST00000079735.11	protein_coding	1	181	1	0	0
chr15	34494928	34495494	ZFP143_conserved_399	34484021	34495255	ENSMUSG00000022323.11	Rida	-	protein_coding	ENSMUST00000022946.5	protein_coding	1	44	1	1	1
chr15	34494928	34495494	ZFP143_conserved_399	34495304	34530648	ENSMUSG00000022325.14	Pop1	+	protein_coding	ENSMUST00000052290.13	protein_coding	1	93	0	0	0
chr15	36608622	36609783	ZFP143_conserved_400	36595661	36608973	ENSMUSG00000022283.15	Pabpc1	-	protein_coding	ENSMUST00000001809.14	protein_coding	1	229	1	1	1
chr15	44427668	44428301	ZFP143_conserved_401	44376071	44428307	ENSMUSG00000038736.10	Nudcd1	-	protein_coding	ENSMUST00000038719.7	protein_coding	1	323	0	1	0
chr15	44427668	44428301	ZFP143_conserved_401	44428111	44438256	ENSMUSG00000022338.8	Eny2	+	protein_coding	ENSMUST00000060652.4	protein_coding	1	127	1	1	1
chr15	57891815	57892855	ZFP143_conserved_402	57869502	57892448	ENSMUSG00000022365.6	Derl1	-	protein_coding	ENSMUST00000022993.6	protein_coding	1	113	1	1	1
chr15	57911813	57912459	ZFP143_conserved_403	57912199	57970061	ENSMUSG00000022364.14	Tbc1d31	+	protein_coding	ENSMUST00000022992.12	protein_coding	1	63	1	1	1
chr15	58033972	58034595	ZFP143_conserved_404	58022259	58034315	ENSMUSG00000101892.1	9130401M01Rik	-	protein_coding	ENSMUST00000100655.4	protein_coding	1	32	1	1	1
chr15	58933485	58934129	ZFP143_conserved_405	58890155	58933730	ENSMUSG00000050891.10	Tatdn1	-	protein_coding	ENSMUST00000110155.2	protein_coding	1	77	0	0	0
chr15	58933485	58934129	ZFP143_conserved_405	58933756	58939488	ENSMUSG00000022354.4	Ndufb9	+	protein_coding	ENSMUST00000022980.4	protein_coding	1	51	1	0	0
chr15	73090200	73091016	ZFP143_conserved_406	73090392	73094075	ENSMUSG00000068391.8	Chrac1	+	protein_coding	ENSMUST00000089765.8	protein_coding	1	216	1	0	0
chr15	75929590	75930079	ZFP143_conserved_407	75924683	75929753	ENSMUSG00000022570.7	Tsta3	-	protein_coding	ENSMUST00000023231.6	protein_coding	1	81	1	1	1
chr15	76069522	76070158	ZFP143_conserved_408	76047158	76069784	ENSMUSG00000022568.17	Scrib	-	protein_coding	ENSMUST00000109946.8	protein_coding	1	56	1	0	0
chr15	76229366	76229726	ZFP143_conserved_409	76170975	76229497	ENSMUSG00000022565.15	Plec	-	protein_coding	ENSMUST00000074834.11	protein_coding	1	49	0	0	0
chr15	76331079	76331511	ZFP143_conserved_410	76331231	76334907	ENSMUSG00000022561.13	Gpaa1	+	protein_coding	ENSMUST00000023221.12	protein_coding	1	64	0	0	0
chr15	76343318	76343872	ZFP143_conserved_411	76343523	76346260	ENSMUSG00000022551.8	Cyc1	+	protein_coding	ENSMUST00000023210.7	protein_coding	1	72	0	0	0
chr15	76350593	76352031	ZFP143_conserved_412	76347040	76351111	ENSMUSG00000022552.16	Sharpin	-	protein_coding	ENSMUST00000023211.15	protein_coding	1	201	1	1	1
chr15	76350593	76352031	ZFP143_conserved_412	76351306	76354373	ENSMUSG00000022553.16	Maf1	+	protein_coding	ENSMUST00000023212.14	protein_coding	1	6	1	1	1
chr15	76511655	76512363	ZFP143_conserved_413	76502015	76511951	ENSMUSG00000022555.12	Dgat1	-	protein_coding	ENSMUST00000023214.10	protein_coding	1	58	1	1	1
chr15	76607360	76607777	ZFP143_conserved_414	76595806	76607591	ENSMUSG00000034022.8	Cpsf1	-	protein_coding	ENSMUST00000071898.6	protein_coding	1	23	0	0	0
chr15	76671425	76671843	ZFP143_conserved_415	76668225	76669948	ENSMUSG00000033837.5	Foxh1	-	protein_coding	ENSMUST00000037824.5	protein_coding	1	1686	1	0	0
chr15	76671425	76671843	ZFP143_conserved_415	76671647	76694919	ENSMUSG00000033819.16	Ppp1r16a	+	protein_coding	ENSMUST00000135388.2	protein_coding	1	13	1	0	0
chr15	76701251	76701756	ZFP143_conserved_416	76701465	76704239	ENSMUSG00000019080.8	Mfsd3	+	protein_coding	ENSMUST00000019224.8	protein_coding	1	38	1	1	1
chr15	76903756	76904385	ZFP143_conserved_417	76904078	76906314	ENSMUSG00000003970.9	Rpl8	+	protein_coding	ENSMUST00000004072.9	protein_coding	1	8	0	1	0
chr15	77970434	77971330	ZFP143_conserved_418	77958998	77970813	ENSMUSG00000016554.9	Eif3d	-	protein_coding	ENSMUST00000100484.5	protein_coding	1	69	0	0	0
chr15	79228944	79229541	ZFP143_conserved_419	79229382	79249466	ENSMUSG00000068206.13	Pick1	+	protein_coding	ENSMUST00000018295.13	protein_coding	1	140	1	0	0
chr15	79228944	79229541	ZFP143_conserved_419	79229391	79256674	ENSMUSG00000116121.1	Gm49486	+	protein_coding	ENSMUST00000053926.11	protein_coding	1	149	1	0	0
chr15	79545859	79547300	ZFP143_conserved_420	79527736	79546741	ENSMUSG00000055065.7	Ddx17	-	protein_coding	ENSMUST00000054014.8	protein_coding	1	162	1	0	0
chr15	80977526	80978007	ZFP143_conserved_421	80977765	81012290	ENSMUSG00000042303.19	Sgsm3	+	protein_coding	ENSMUST00000139517.8	protein_coding	1	1	1	1	1
chr15	81729725	81730384	ZFP143_conserved_422	81704253	81730003	ENSMUSG00000022391.16	Rangap1	-	protein_coding	ENSMUST00000052374.12	protein_coding	1	51	1	1	1
chr15	83148904	83149945	ZFP143_conserved_423	83125976	83149384	ENSMUSG00000041815.14	Poldip3	-	protein_coding	ENSMUST00000058793.13	protein_coding	1	40	1	0	0
chr15	83594942	83595454	ZFP143_conserved_424	83575090	83595157	ENSMUSG00000016757.11	Ttll12	-	protein_coding	ENSMUST00000016901.4	protein_coding	1	41	1	0	0
